id,L_murinus,A_fumigatus
16,0,0
18,0.156381363,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,5.792005168,0
28,0,0
29,0.145139302,0
30,0,0
46,7.671806909,52.39317423
47,0.392869529,4.351146359
48,0.585551503,7.082876504
49,0,53.0354625
50,0,26.9730381
51,0,24.39519723
52,0,25.91445597
53,0.356673245,10.59413229
54,20.0226886,50.73011081
55,1.710503496,64.00069761
56,0,0.436009342
57,0.160559912,5.963736859
58,0,124.9929489
59,4.809861754,287.0874255
60,0,28.20062786
61,0.031249914,13.76965966
62,0.181385828,3.207230622
63,0,12.86800708
64,0,93.69808908
65,0,153.6082491
66,0.338630045,0.92065305
67,0,1.227608387
68,0,0.707492697
69,0,1.047862337
70,0,0.858174863
71,0.168069898,3.851417387
73,0,2.484551787
74,0,1.091971827
75,0,4.234228348
77,0.077508871,0.197042535
78,0,0.625491496
79,0,1.338018525
80,0,0.619120664
81,0,0.790170132
82,0.055306172,0
83,0,0.6099684
84,0,4.288945802
85,0.027492397,0.265995236
86,0,0
87,0.154513692,0.629853529
88,0,1.017626197
89,0.327258465,1.090835839
90,0.133201979,0
91,0.213836302,0.586399392
92,0,0.453452241
93,0,0.892977142
94,0,11.34176021
95,0,1.256677657
96,0,0.253124357
97,0,0.853151504
98,0,1.088516088
99,0,0
100,0,0
101,0,0.589086405
102,0,3.767703478
103,0,0
104,0,0.491054288
105,0,0
